Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Tank.LWBTP-12.Ready,DB3.X3396.1,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-12.SP,DB3.REAL3400,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-12.SP_Ctrl,DB3.REAL3436,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-12.SPLVH,DB3.REAL3428,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-12.SPLVL,DB3.REAL3432,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-12.VI,DB3.REAL3388,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-12.Volume,DB3.REAL3408,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-12.WI,DB3.REAL3392,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.CDBLVH,DB3.REAL3976,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.CDBLVL,DB3.REAL3980,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.DB,DB3.REAL3984,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.Dens,DB3.REAL3988,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.LI,DB3.REAL3948,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.Mode,DB3.WORD3962,Word,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.OWSelect,DB3.X3960.0,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.PV,DB3.REAL3968,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.Ready,DB3.X3960.1,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.SP,DB3.REAL3964,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.SP_Ctrl,DB3.REAL4000,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.SPLVH,DB3.REAL3992,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.SPLVL,DB3.REAL3996,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.VI,DB3.REAL3952,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.Volume,DB3.REAL3972,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTP-14.WI,DB3.REAL3956,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.CDBLVH,DB3.REAL404,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.CDBLVL,DB3.REAL408,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.DB,DB3.REAL412,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.Dens,DB3.REAL416,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.LI,DB3.REAL376,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.Mode,DB3.WORD390,Word,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.OWSelect,DB3.X388.0,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.PV,DB3.REAL396,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.Ready,DB3.X388.1,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.SP,DB3.REAL392,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.SP_Ctrl,DB3.REAL428,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.SPLVH,DB3.REAL420,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.SPLVL,DB3.REAL424,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.VI,DB3.REAL380,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.Volume,DB3.REAL400,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-02.WI,DB3.REAL384,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.CDBLVH,DB3.REAL780,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.CDBLVL,DB3.REAL784,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.DB,DB3.REAL788,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.Dens,DB3.REAL792,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.LI,DB3.REAL752,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.Mode,DB3.WORD766,Word,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.OWSelect,DB3.X764.0,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.PV,DB3.REAL772,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.Ready,DB3.X764.1,Boolean,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.SP,DB3.REAL768,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.SP_Ctrl,DB3.REAL804,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.SPLVH,DB3.REAL796,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.SPLVL,DB3.REAL800,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.VI,DB3.REAL756,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.Volume,DB3.REAL776,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-03.WI,DB3.REAL760,Float,1,R/W,1000,,,,,,,,,,,
Tank.LWBTS-04.CDBLVH,DB3.REAL1156,Float,1,R/W,1000,,,,,,,,,,,
